jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
31	vit31.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
32	vit30.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
33	vit29.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
34	vit28.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
35	vit27.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
36	vit26.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
37	vit25.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
38	vit24.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
39	vit23.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
40	vit22.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
41	vit21.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
42	vit20.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
43	vit19.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
44	vit18.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
45	vit17.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
46	vit16.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
47	vit15.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
48	vit14.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
49	vit13.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
50	vit12.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
51	vit11.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
52	vit10.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
53	vit9.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
54	vit8.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
55	vit7.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
56	vit6.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
57	vit5.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
58	vit4.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
59	vit3.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
60	vit2.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
61	vit91.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1951791	0	124.136866	0
62	vit90.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
63	vit89.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
64	vit88.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
65	vit87.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
66	vit86.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
67	vit85.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
68	vit84.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
69	vit83.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
70	vit82.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
71	vit81.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
72	vit80.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
73	vit79.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
74	vit78.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
75	vit77.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
76	vit76.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
77	vit75.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
78	vit74.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
79	vit73.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
80	vit72.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
81	vit71.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
82	vit70.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
83	vit69.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
84	vit68.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
85	vit67.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
86	vit66.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
87	vit65.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	124.136866	0
88	vit64.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	125.478094	0
89	vit63.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	125.478094	0
90	vit62.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1950500	0	125.478094	0
91	vit1.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1280467	0	126.82087899999999	0
92	vit0.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1280450	0	128.02876700000002	0
